Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
AUSTRALIAN JOURNAL OF ZOOLOGY,AUST J ZOOL,CSIRO PUBLISHING,0004-959X,1446-5698,ZOOLOGY,SCIE,"1,794",1,Q3,0.5,65.43%
Comparative Cytogenetics,COMP CYTOGENET,PENSOFT PUBLISHERS,1993-0771,1993-078X,ZOOLOGY,SCIE,399,1,Q3,0.34,93.85%
California Fish and Wildlife Journal,CALIF FISH WILDL J,CALIFORNIA DEPT FISH WILDLIFE,2689-419X,2689-4203,ZOOLOGY,SCIE,42,1,Q3,0.26,93.10%
AUSTRALIAN MAMMALOGY,AUST MAMMAL,CSIRO PUBLISHING,0310-0049,1836-7402,ZOOLOGY,SCIE,690,0.9,Q3,0.65,9.57%
ZOOLOGICAL SCIENCE,ZOOL SCI,ZOOLOGICAL SOC JAPAN,0289-0003,0289-0003,ZOOLOGY,SCIE,"2,329",0.9,Q3,0.59,0.56%
ZOOSYSTEMA,ZOOSYSTEMA,"PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS",1280-9551,1638-9387,ZOOLOGY,SCIE,512,0.9,Q3,0.56,0%
NEW ZEALAND JOURNAL OF ZOOLOGY,NEW ZEAL J ZOOL,TAYLOR & FRANCIS LTD,0301-4223,1175-8821,ZOOLOGY,SCIE,968,0.9,Q3,0.48,39.19%
CHELONIAN CONSERVATION AND BIOLOGY,CHELONIAN CONSERV BI,ALLEN PRESS INC,1071-8443,1943-3956,ZOOLOGY,SCIE,"1,049",0.9,Q3,0.44,1.09%
RUSSIAN JOURNAL OF HERPETOLOGY,RUSS J HERPETOL,FOLIUM PUBL CO,1026-2296,1026-2296,ZOOLOGY,SCIE,537,0.9,Q3,0.42,0%
JOURNAL OF ETHOLOGY,J ETHOL,SPRINGER JAPAN KK,0289-0771,1439-5444,ZOOLOGY,SCIE,947,0.9,Q3,0.41,24.47%
ANNALES ZOOLOGICI FENNICI,ANN ZOOL FENN,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,0003-455X,1797-2450,ZOOLOGY,SCIE,"1,474",0.9,Q3,0.39,0%
RUSSIAN JOURNAL OF NEMATOLOGY,RUSS J NEMATOL,"RUSSIAN ACAD SCI, INST PARASITOLOGY",0869-6918,0869-6918,ZOOLOGY,SCIE,245,0.9,Q3,0.39,0%
AFRICAN JOURNAL OF HERPETOLOGY,AFR J HERPETOL,TAYLOR & FRANCIS LTD,2156-4574,2153-3660,ZOOLOGY,SCIE,193,0.8,Q3,0.64,9.52%
MAMMALIA,MAMMALIA,WALTER DE GRUYTER GMBH,0025-1461,1864-1547,ZOOLOGY,SCIE,"1,618",0.8,Q3,0.59,4.40%
Zootaxa,ZOOTAXA,MAGNOLIA PRESS,1175-5326,1175-5334,ZOOLOGY,SCIE,"24,858",0.8,Q3,0.53,0.05%
HERPETOZOA,HERPETOZOA,PENSOFT PUBLISHERS,1013-4425,1013-4425,ZOOLOGY,SCIE,393,0.8,Q3,0.51,95.33%
JOURNAL OF HERPETOLOGY,J HERPETOL,SOC STUDY AMPHIBIANS REPTILES,0022-1511,1937-2418,ZOOLOGY,SCIE,"3,476",0.8,Q3,0.47,0.65%
MAMMAL STUDY,MAMM STUDY,MAMMALOGICAL SOC JAPAN,1343-4152,1348-6160,ZOOLOGY,SCIE,495,0.8,Q3,0.47,0%
STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,STUD NEOTROP FAUNA E,TAYLOR & FRANCIS LTD,0165-0521,1744-5140,ZOOLOGY,SCIE,809,0.8,Q3,0.45,4.26%
Veterinary Research Forum,VET RES FORUM,URMIA UNIV,2008-8140,2322-3618,ZOOLOGY,SCIE,878,0.8,Q3,0.45,0%
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,PENSOFT PUBLISHERS,0137-1592,1734-1515,ZOOLOGY,SCIE,604,0.8,Q3,0.42,99.13%
